start_time_utc,open,high,low,close,volume,turnover
2026-03-09T13:24:00Z,0.09102,0.09104,0.09093,0.09096,1044076,94991.56155
2026-03-09T13:25:00Z,0.09096,0.09132,0.09094,0.09128,2629696,239678.05436
2026-03-09T13:26:00Z,0.09128,0.09159,0.09128,0.09155,5937370,543274.39447
2026-03-09T13:27:00Z,0.09155,0.09168,0.09137,0.09146,7329443,670720.53382
2026-03-09T13:28:00Z,0.09146,0.09156,0.0914,0.09146,1691391,154716.01825
2026-03-09T13:29:00Z,0.09146,0.09147,0.09138,0.09146,867954,79340.60971
2026-03-09T13:30:00Z,0.09146,0.09159,0.09145,0.09157,8819188,807226.40885
2026-03-09T13:31:00Z,0.09157,0.09179,0.09154,0.09156,9213482,844812.62593
2026-03-09T13:32:00Z,0.09156,0.09182,0.09156,0.09175,6425774,589374.27989
2026-03-09T13:33:00Z,0.09175,0.09183,0.0916,0.09162,4378068,401605.41604
2026-03-09T13:34:00Z,0.09162,0.09199,0.09158,0.09195,3117659,286257.28775
2026-03-09T13:35:00Z,0.09195,0.09196,0.09176,0.09182,3248710,298428.52911
2026-03-09T13:36:00Z,0.09182,0.09182,0.09151,0.09151,4023029,368565.41657
2026-03-09T13:37:00Z,0.09151,0.09165,0.0915,0.09151,4152510,380258.21646
2026-03-09T13:38:00Z,0.09151,0.09152,0.09135,0.09145,2475568,226311.30019
2026-03-09T13:39:00Z,0.09145,0.09153,0.09134,0.09135,3040525,278026.50288
2026-03-09T13:40:00Z,0.09135,0.09152,0.09135,0.0914,1353497,123824.55921
2026-03-09T13:41:00Z,0.0914,0.09148,0.0913,0.09138,1271226,116187.30169
2026-03-09T13:42:00Z,0.09138,0.09152,0.09132,0.09147,965284,88280.04764
2026-03-09T13:43:00Z,0.09147,0.09189,0.09147,0.09189,5094371,467017.74777
